video,log_stem,motion,target_lateral_mm,target_forward_mm
PXL_20260724_135558902_turn90.mp4,20260724_225616_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_135650445_turn90.mp4,20260724_225709_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_135816775_turn90.mp4,20260724_225837_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_140013568_turn180.mp4,20260724_230034_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_140107967_turn180.mp4,20260724_230127_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_140210029_turn180.mp4,20260724_230229_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_140357473_turnin45.mp4,20260724_230416_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260724_140450283_turnin45.mp4,20260724_230508_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260724_140545452_turnin45.mp4,20260724_230601_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260724_140642452_turnin135.mp4,20260724_230701_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260724_140735858_turnin135.mp4,20260724_230755_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260724_140829559_turnin135.mp4,20260724_230846_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260724_140936915_turnout45.mp4,20260724_230953_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260724_141029743_turnout45.mp4,20260724_231048_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260724_141121996_turnout45.mp4,20260724_231145_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260724_141225926_turnout135.mp4,20260724_231243_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260724_141344444_turnout135.mp4,20260724_231401_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260724_141437154_turnout135.mp4,20260724_231454_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260724_141533268_turnv90.mp4,20260724_231552_myshell_debug_log_r_v90,r_v90,-90,0
PXL_20260724_141623757_turnv90.mp4,20260724_231641_myshell_debug_log_r_v90,r_v90,-90,0
PXL_20260724_141716400_turnv90.mp4,20260724_231734_myshell_debug_log_r_v90,r_v90,-90,0
