motion,side,source,turn_index,tread_mm,turn_angle_deg,body_lateral_mm,body_forward_mm,lstart_mm,lend_mm,matrix_determinant,feasible_nonnegative
long90,R,20260723_024736_myshell_debug_log_long_r90.csv,1,35.1,89.1168753726893,72.38502540340517,61.73595037077391,27.992520905084216,17.617067232848818,-0.9998812154017281,True
long90,L,20260723_024833_myshell_debug_log_long_l90.csv,1,35.1,87.32558139534885,71.46313347784906,62.19480466149292,26.9393134686066,18.557078753744157,-0.9989108074680594,True
long180,R,20260723_025656_myshell_debug_log_long_r180.csv,1,35.1,178.68157423971385,96.3591624967666,-5.082829442464449,-271.22310499185,-276.3791025951129,-0.0230088398039362,False
long180,R,20260723_025656_myshell_debug_log_long_r180.csv,2,35.1,178.6815742397139,95.99489053167034,-6.393448256128309,-254.08485073794867,-260.54727586243246,-0.023008839803934873,False
long180,L,20260723_003011_myshell_debug_log_long_l180.csv,1,35.1,178.68157423971385,94.75913637398274,-6.799359855607753,-199.98535803487763,-206.83947624202153,-0.0230088398039362,False
long180,L,20260723_003011_myshell_debug_log_long_l180.csv,2,35.1,178.23375074537873,95.27866180088343,-6.238537665064412,-164.94298257735244,-171.26288898332024,-0.030821982697007585,False
long180,L,20260723_003052_myshell_debug_log_long_l180.csv,1,35.1,176.8902802623734,96.14259206450714,-5.0051247815206885,-108.05938938813672,-113.23124922781524,-0.05424820538850167,False
long180,L,20260723_003052_myshell_debug_log_long_l180.csv,2,35.1,177.78592725104372,95.97784164258815,-6.572354653525942,-148.04523668061444,-154.73310615597134,-0.038633242691854634,False
in45,R,20260723_003605_myshell_debug_log_in_r45.csv,1,35.1,42.095408467501485,27.306327865374552,54.621529051766984,15.793341067699249,26.394002084659263,-0.6703671568211845,True
in45,R,20260723_003707_myshell_debug_log_in_r45.csv,1,35.1,43.886702444841994,28.571596445114288,54.153895371296386,18.766535492635793,23.69818822686456,-0.6932345796908758,True
in45,L,20260722_022437_myshell_debug_log_in_l45.csv,1,35.1,43.88670244484197,27.210108363661153,54.82651520309636,16.67846286060339,25.66215269335186,-0.6932345796908755,True
in45,L,20260722_022522_myshell_debug_log_in_l45.csv,1,35.1,42.543231961836604,26.786821135769145,55.48847345186195,14.665414204537896,26.936741812907957,-0.6761463205436073,True
out45,R,20260723_015659_myshell_debug_log_out_r45.csv,1,35.1,43.43887895050687,60.794353485917426,21.159256177028556,33.50333491050587,5.51725903887974,-0.6875803812287391,True
out45,R,20260723_015737_myshell_debug_log_out_r45.csv,1,35.1,43.43887895050687,61.062130777697114,21.303283425749903,33.304552850061256,5.389994653496456,-0.6875803812287391,True
out45,L,20260723_015926_myshell_debug_log_out_l45.csv,1,35.1,44.334525939177105,60.99208352061849,20.293779531279768,34.868380184510585,4.352541980993104,-0.6988464288281669,True
out45,L,20260723_020011_myshell_debug_log_out_l45.csv,1,35.1,42.543231961836625,60.75991287975975,21.275964567687396,33.20115231026104,5.76862941555796,-0.6761463205436078,True
