side,model,start_length_mm,end_length_mm,end_lateral_mm,end_forward_mm
R,no position slip,16.25913495214165,17.683458738282233,-101.09930371767685,0.0012278723893963672
R,projection only,16.919196205765047,18.68252608540804,-99.1360277098981,0.0012972438414919907
R,lateral beta,5.521899960056828,26.627430990107694,-104.31391729764195,0.001848907942573419
R,body u + lateral u tan(beta),5.364408013082084,26.737392426574516,-104.35770928570123,0.0018565432481842947
R,resultant ego.velo: cos/sin,6.238726490199909,27.552027686915082,-102.32936389707628,0.001913108434802524
R,resultant + fitted contact slip,11.625671796434801,32.57513716741623,-89.86623652879656,0.002261894129460984
R,video calibrated,12.125009906591615,33.04074983888725,-88.7109780078834,0.002294224509618914
L,no position slip,16.640877241230626,17.59870762837394,101.1063359683514,0.0002943841728466623
L,projection only,17.29402141831335,18.580453354071455,99.18184608316015,0.0003108064243839692
L,lateral beta,6.031158257780575,26.498819411488466,104.2984052232438,0.00044326169844310925
L,body u + lateral u tan(beta),5.878279979769431,26.606600395809004,104.3414090509885,0.00044506461582471957
L,resultant ego.velo: cos/sin,6.7391805393718585,27.407498585489286,102.35290064489833,0.000458461721798642
L,resultant + fitted contact slip,12.044683373170542,32.34644684516441,90.13117259574197,0.0005410784814401381
L,video calibrated,12.53647224568688,32.804258267027976,88.99829037028985,0.0005487365685894474
