run,motion,settings_json,front_marker_color,marker_detection_pct,led_start_frame,led_end_frame,r_min_setting_mm,lstart_setting_mm,lend_setting_mm,simulator_endpoint_forward_mm,simulator_endpoint_left_mm,video_led_endpoint_forward_mm,video_led_endpoint_left_mm,signed_rear_shortfall_mm,rear_shortfall_mm,rear_overshoot_mm,cross_track_error_mm,boundary_resolution_mm
20260723_215822,long_r90,20260723_215822_myshell_debug_log_long_r90.settings.json,blue,100.0,109,129,-52.0,14.95,30.5,82.59211397761601,101.08912244753287,81.50467817008956,-61.54785922427581,162.61448775195416,162.61448775195416,0.0,-2.9152524970026077,3.1721806889922233
20260723_230447,long_r180,20260723_230447_myshell_debug_log_long_r180.settings.json,blue,97.97297297297297,54,87,-48.0,8.8,30.1,-23.60178673385869,99.45528154956497,7.590185428672553,-88.8284783891065,26.9558729961422,26.9558729961422,0.0,-188.93674680973854,3.2687835693359375
20260723_230550,in_r45,20260723_230550_myshell_debug_log_in_r45.settings.json,blue,100.0,58,69,-55.0,7.52,49.62,96.0529926987333,58.552826247414615,58.74262510787388,-17.656009568316517,80.42179577229587,80.42179577229587,0.0,27.05891629229177,3.163911054494039
20260723_230706,in_r135,20260723_230706_myshell_debug_log_in_r135.settings.json,blue,90.60402684563759,58,81,-42.5,13.23,24.76,30.36286436668714,106.57371748323665,55.09776927036123,-72.81601982239512,142.46555330037984,142.46555330037984,0.0,-111.78577500735061,3.1311262949505885
20260723_230823,out_r45,20260723_230823_myshell_debug_log_out_r45.settings.json,blue,100.0,38,51,-60.0,21.06,20.07,93.21461144042253,39.056214825324545,70.53018636384402,-15.665745041562385,54.859687131018894,54.859687131018894,0.0,22.34928993536054,3.2151315416490207
20260723_230928,out_r135,20260723_230928_myshell_debug_log_out_r135.settings.json,blue,96.64429530201343,65,87,-41.0,8.09,37.73,14.493836697294476,112.59552327715909,52.62333996497059,-67.9107010100357,152.91294796421175,152.91294796421175,0.0,-103.21814942515233,3.038248098476208
20260723_231036,r_v90,20260723_231036_myshell_debug_log_r_v90.settings.json,blue,75.0,66,80,-40.0,4.79,14.95,56.622596240647155,68.95643774358483,55.52633826090045,-51.24483921577764,120.1815122808827,120.1815122808827,0.0,-2.4398504256538645,2.8458844633553375
20260723_235539,long_r180,20260723_235539_myshell_debug_log_long_r180.settings.json,blue,95.30201342281879,58,92,-48.0,8.8,30.1,-23.60178673385869,99.45528154956497,12.969373927180674,-92.22862537080252,32.257348849914706,32.257348849914706,0.0,-192.45683518526062,3.862683525754891
20260724_000153,long_r180,20260724_000153_myshell_debug_log_long_r180.settings.json,blue,98.65771812080537,55,88,-48.0,8.8,30.1,-23.60178673385869,99.45528154956497,31.10775508201256,-90.43771483344686,50.43137375367647,50.43137375367647,0.0,-191.0737045810807,3.3659432591291716
20260724_003314,in_r135,20260724_003314_myshell_debug_log_in_r135.settings.json,red,97.97297297297297,56,79,-42.5,13.23,24.76,30.36286436668714,106.57371748323665,56.29161299158473,-72.50461467320906,143.10746439735976,143.10746439735976,0.0,-110.7321212970556,2.9030941099401155
