motion_name,gain_name,velocity_m_s,r_min_mm,degree,duration_ms,sample_count,omega_max_rad_s,alpha_max_rad_s2,alpha_min_rad_s2,jerk_abs_max_rad_s3,predicted_om_ff_abs_max_v,jerk_clipped_pct,source_turn90,om_velo,om_accel,om_decel,om_bias,om_jerk
in_l135,ff_gain_in135_L_1800,1.8,43.0,135.0,79.91888169362079,80,41.86046511627907,2556.646675904247,-2556.004565303371,451879.56722029945,2.8787269600760124,0.0,long_l90,0.0168,0.00096,0.00088,0.0175,2.9e-06
in_l45,ff_gain_in45_L_1800,1.8,53.0,45.0,32.83488937799924,33,33.9622641509434,4959.210749498959,-4970.345373138664,1329773.8384348303,5.957608846392134,9.090909090909092,long_l90,0.0168,0.00097,0.00084,0.0175,2.2e-06
in_r135,ff_gain_in135_R_1800,1.8,-43.0,-135.0,79.91888169362079,80,41.86046511627907,2556.646675904247,-2556.004565303371,451879.56722029945,2.862996796088219,0.0,long_r90,0.0168,0.00091,0.0009,0.0613,3.2e-06
in_r45,ff_gain_in45_R_1800,1.8,-53.0,-45.0,32.83488937799924,33,33.9622641509434,4959.210749498959,-4970.345373138664,1329773.8384348303,5.962682464534976,12.121212121212121,long_r90,0.0168,0.00094,0.00082,0.0613,2.4e-06
l_v90,ff_gain_v90_L_1800,1.8,40.0,90.0,49.56209717433848,50,45.0,4398.737994764413,-4408.32962806107,1035875.4247163029,5.569214378443997,10.0,long_l90,0.0168,0.00099,0.00091,0.0175,2.8e-06
long_l180,ff_gain_long_turn_180_L_1800,1.8,48.0,180.0,118.94903321841234,119,37.5,1540.39564515213,-1540.6747440580152,199068.53445720463,1.7128060866622563,0.0,long_l90,0.0168,0.00094,0.00087,0.0175,2.9e-06
long_l90,ff_gain_long_turn_90_L_1800,1.8,52.0,90.0,64.43072632664001,65,34.61538461538462,2613.0674748547403,-2618.0082225706797,535073.7948830234,3.0768964431716306,0.0,long_l90,0.0168,0.00097,0.00088,0.0175,2.9e-06
long_r180,ff_gain_long_turn_180_R_1800,1.8,-48.0,-180.0,118.94903321841234,119,37.5,1540.39564515213,-1540.6747440580152,199068.53445720463,1.6718135984899252,0.0,long_r90,0.0168,0.00088,0.0009,0.0613,3.2e-06
long_r90,ff_gain_long_turn_90_R_1800,1.8,-52.0,-90.0,64.43072632664001,65,34.61538461538462,2613.0674748547403,-2618.0082225706797,535073.7948830234,3.1118887431355997,0.0,long_r90,0.0168,0.00092,0.00089,0.0613,3.2e-06
out_l135,ff_gain_out135_L_1800,1.8,41.0,135.0,76.20172440554542,77,43.90243902439024,2808.939341233483,-2804.2666285125415,513992.0977738061,3.135320389662303,0.0,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
out_l45,ff_gain_out45_L_1800,1.8,55.0,45.0,34.073941807357706,35,32.72727272727273,4621.020921696486,-4617.3522264170615,1215431.1962081941,5.828933252001867,28.57142857142857,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
out_r135,ff_gain_out135_R_1800,1.8,-41.0,-135.0,76.20172440554542,77,43.90243902439024,2808.939341233483,-2804.2666285125415,513992.0977738061,3.0970441748957276,0.0,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
out_r45,ff_gain_out45_R_1800,1.8,-55.0,-45.0,34.073941807357706,35,32.72727272727273,4621.020921696486,-4617.3522264170615,1215431.1962081941,5.769033696125364,40.0,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
r_v90,ff_gain_v90_R_1800,1.8,-40.0,-90.0,49.56209717433848,50,45.0,4398.737994764413,-4408.32962806107,1035875.4247163029,5.403818411626667,10.0,long_r90,0.0168,0.00093,0.0009,0.0613,2.8e-06
