run,motion,target_lateral_mm,target_forward_mm,marker_detection_pct,trajectory_fit_rmse_mm,slow_motion_factor,video_lstart_mm,video_lend_mm,video_body_forward_mm,video_body_lateral_mm,video_marker_turn_angle_deg,video_turn_angle_deg,video_target_residual_mm,video_body_apex_forward_mm,log_lstart_mm,log_lend_mm,log_body_forward_mm,log_body_lateral_mm,log_turn_angle_deg,log_target_residual_mm,log_body_apex_forward_mm,accepted
20260725_004453,long_r90,-90.0,90.0,95.36423841059603,6.667595400270021,8.45,13.371660677252914,39.324027240067245,76.33503819460738,-50.67706657908412,-89.62687328201946,-89.57265128313034,0.0,,26.26311922918138,22.49876619884792,63.6953125,-67.50127220153809,-89.89414140253214,0.0,,True
20260725_004549,long_r90,-90.0,90.0,98.68421052631578,6.51561617471205,8.6,13.736463860620843,36.87736434771764,76.1337588349242,-53.12286400646649,-90.39043671075244,-89.79836663217877,0.0,,26.285751220367775,22.124680907653023,63.90234375,-67.87611865997314,-90.48711110551596,0.0,,True
20260725_004640,long_r90,-90.0,90.0,94.73684210526315,6.602971493608952,8.425,14.225853073368608,38.021902593201936,75.34452349601729,-51.98052472068028,-90.45565690626808,-89.35258018384594,0.0,,25.752798808599536,22.43461124136569,64.3203125,-67.56550788879395,-90.1867193858188,0.0,,False
20260725_004738,long_l90,90.0,90.0,100.0,5.0524232076839,8.3,13.671523547659035,34.75871463634543,76.00035548873976,55.24283412295905,89.38179623508884,89.4591219551239,0.0,,25.4744534736642,22.37673864766756,64.5234375,67.62326145172119,89.99459982484468,0.0,,True
20260725_004835,long_l90,90.0,90.0,100.0,6.004715428991908,8.55,12.727052467328843,40.25764758547939,76.78285877775639,49.74533564754315,89.61271387866007,89.30247511820802,0.0,,25.593581268320147,22.74782253299212,64.37109375,67.25220489501953,89.91102563016041,0.0,,True
20260725_004938,long_l90,90.0,90.0,100.0,3.5425197529237034,8.375,17.31443746218893,35.58099277670032,72.32381135450161,54.42084622904903,89.17019666078303,89.41746501386658,0.0,,25.247629441519592,22.688963196064723,64.78125,67.31105518341064,90.07292843424639,0.0,,True
20260725_005051,long_r180,-90.0,0.0,98.73417721518987,8.804708662438696,7.375,28.251640471715803,37.26427988120122,9.055293729890106,-87.09113160689212,-170.17542427119432,-180.77326209032825,3.412081444935996,66.7483595282842,15.35546875,15.192853429941895,-0.28125,-98.62309455871582,-180.7980033304456,8.412314505991128,79.64453125,True
20260725_005145,long_r180,-90.0,0.0,98.08917197452229,8.669012786743613,7.275,27.707753487627798,41.42848402298986,13.751664221018522,-86.58846125274026,-166.8921099454677,-180.49368113740942,3.768637011035208,67.2922465123722,15.6484375,15.281862667490552,-0.501953125,-99.06321954727173,-180.86682431652264,8.833040863492371,79.3515625,True
20260725_005301,long_r180,-90.0,0.0,97.43589743589743,9.325840203022304,7.375,28.693602908916844,38.74304044631716,10.106252340897946,-84.43456291814387,-169.0858813503684,-180.5654608521519,5.948081564144193,66.30639709108316,15.67578125,15.126685829003284,-0.669921875,-98.49928092956543,-180.8250372191805,8.282328641908698,79.32421875,True
20260725_005405,long_l180,90.0,0.0,99.35897435897436,9.348269271494978,7.475,30.371289962770504,35.18473780020755,4.807533005844283,89.25680267070251,173.9018957021968,179.39058525980937,0.3689900514382645,64.6287100372295,15.79296875,13.597183004573303,-2.04296875,102.12547135353088,179.2829717498884,12.296591799577678,79.20703125,True
20260725_005539,long_l180,90.0,0.0,100.0,7.826440999549297,7.825,26.07465460179408,30.284464204171382,4.209721297099125,89.76834039784879,176.91735523914184,179.14586515528217,0.21981269980333112,68.92534539820592,15.8125,13.117900022953663,-2.513671875,101.93633651733398,179.1387044942394,12.134894228674764,79.1875,True
20260725_005657,long_l180,90.0,0.0,100.0,8.451065745172754,7.475,25.222000418334886,38.34948574574212,13.12128840014828,89.13414963403262,168.56438063915138,179.48902522461842,0.5238676464375734,69.77799958166511,15.609375,13.423532069688015,-2.076171875,101.93586444854736,179.47625244302142,12.059072672915775,79.390625,True
