speed_mm_s,direction,cohort,turns,speed_error_mean_mm_s,speed_error_rms_mm_s,speed_error_peak_positive_mm_s,speed_error_peak_negative_mm_s,feedback_rms_v,motor_voltage_delta_rms_v,fit_k_alpha,fit_k_omega2,fit_rmse_v,fit_samples,fit_rejected,constrained_k_alpha,constrained_k_omega2,constrained_rmse_v,constrained_samples,constrained_rejected,response_lag_phase_samples,response_voltage_gain_mps2_per_v,response_k_alpha_from_response,response_k_omega2_from_response,response_rmse_mps2,response_condition_number,response_valid,recommended_k_alpha,recommended_k_omega2,recommended_predicted_speed_rms_mm_s,recommended_ff_min_v,recommended_ff_max_v
280,right,baseline,6,-2.022408505972741,11.823907686180087,25.52978515625003,-38.5400390625,0.04087721631941171,0.02347810147619845,-9.238545604618968e-05,-0.00014777221844833546,0.016627319866759888,1206,0,-9.178419688445697e-05,1.2214515462904596e-17,0.017904556286912128,1206,0,4,33.09927613283274,-7.887371353138711e-05,-4.971626520474337e-06,0.8653327299725648,6.1780200523992805,True,-0.00016089667663012953,0.00012840653233087723,9.792513297262364,-0.0393506828443498,0.04364823635025739
280,right,trial,9,0.5271379376986588,14.62221887860998,32.34374999999995,-41.461181640625,0.03931164525580533,0.03921912442768588,-0.00017719304340906613,-0.00024404314909970686,0.022866441164715274,1809,0,-0.00017620007476589167,3.5722724673683035e-15,0.025360733230773876,1809,0,4,26.413876579364022,-0.00013720907582244932,1.1486494177328376e-05,0.909744469492819,5.59394447566427,True,-0.00016089667663012953,0.00012840653233087723,9.792513297262364,-0.0393506828443498,0.04364823635025739
280,left,baseline,6,-2.58690677472015,10.688160201804465,20.114746093749915,-39.82666015625,0.03767926598038256,0.020290474386376354,-5.987879296466666e-05,-5.2727272584827226e-05,0.016347833799888346,1206,0,-5.966425496787392e-05,2.0476719906926242e-14,0.01651868686161872,1206,0,4,28.204261803433145,-4.748401275982814e-05,7.30956625340384e-05,0.8621757253697053,5.444042047719475,True,-4.510362338764867e-05,3.265965718185176e-05,9.275238247511004,-0.011070067351688556,0.01215969130884147
280,left,trial,6,0.059113004314366245,11.579978448983743,20.093994140624897,-36.71386718750001,0.03223374244706824,0.028983042658962645,-0.00013458506529122352,-7.679676907071937e-05,0.018508603149799185,1206,0,-0.00013427259274746193,1.4324773864036877e-18,0.018827654797602834,1206,0,4,26.96190926508143,-9.425800924583206e-05,0.00010221778897244184,0.8803673517379257,5.323033270965618,True,-4.510362338764867e-05,3.265965718185176e-05,9.275238247511004,-0.011070067351688556,0.01215969130884147
300,right,baseline,6,-2.7423217166122504,17.207638153709187,28.076171875,-53.1591796875,0.05869261622698072,0.036088465715290056,-0.0001253959724947089,-0.00025474427530792544,0.02290382061016925,1206,0,-0.0001241826569221219,8.624458504600278e-26,0.026448569056522424,1206,0,4,36.04573754307712,-0.00010549199051539251,-4.287893492240265e-05,0.9005557068066518,7.01278164534968,True,-0.0002296142227846684,0.0001791758228249623,14.473944378076663,-0.06433123327773499,0.07151620701124665
300,right,trial,6,1.0371988527415017,21.276196059692953,40.13671874999993,-52.70751953125,0.05858410526507738,0.0735619705666355,-0.00023735053500028046,-0.00045751956998087314,0.031044173994448487,1206,0,-0.00023517142570194538,8.565981823418055e-24,0.03909006263011386,1206,0,4,19.654766561872616,-0.00019201853363366673,2.9368056246290954e-05,0.9309169293532453,8.508847808762525,True,-0.0002296142227846684,0.0001791758228249623,14.473944378076663,-0.06433123327773499,0.07151620701124665
300,left,baseline,6,-3.255295381814884,12.426550988605902,19.315185546875043,-52.39013671874997,0.045942546825558046,0.024187284863029925,-6.181872602846848e-05,-0.0001003503699985583,0.017809667776525144,1205,1,-6.135847005843145e-05,1.644073974030994e-22,0.018556644476210995,1205,1,4,26.35687005169794,-8.459059977687629e-05,0.0001212024734741409,0.9105743568173887,5.616090194538095,True,-6.532905179536769e-05,5.630003199776517e-05,11.49942354628377,-0.018217358480128117,0.02049177959257711
300,left,trial,6,0.7914407454912938,15.669602379221722,25.150146484375135,-45.520019531249986,0.04259743376054144,0.04777130013778807,-0.00016796352393714752,-0.00019221229386982456,0.025405530312998123,1206,0,-0.0001670480404817763,1.3840386615082434e-21,0.02729538707429886,1206,0,4,18.27061351696903,-0.00017987083348263482,0.00024888202445401663,0.9202054902770206,6.837103260370834,True,-6.532905179536769e-05,5.630003199776517e-05,11.49942354628377,-0.018217358480128117,0.02049177959257711
320,right,baseline,8,-8.716939290364584,21.387607945558976,32.1337890625,-55.634765624999986,0.07139856854963621,0.049459414555638494,-9.439771892659008e-05,-0.0003928738095068337,0.025694769155056377,1600,8,-5.121042428102019e-06,4.178285172003466e-30,0.036472503929950384,1608,0,0,-1.5782516856817488,,,4.416257379327769,7.0431689175589645,False,-0.0003631094141321759,0.00021241377937707037,12.986265606896357,-0.10687338861253293,0.35
320,right,trial,8,-7.631038836578825,26.19336529850262,36.69921874999994,-55.18554687499998,0.0774277558761662,0.10619425781884394,-0.0001868684406383197,-0.0007527994557157797,0.03301230835504247,1600,8,-8.976599656722803e-06,1.7855976157035845e-28,0.06016269354429984,1608,0,0,-7.869093944982218,,,4.453148671791953,11.672548462514973,False,-0.0003631094141321759,0.00021241377937707037,12.986265606896357,-0.10687338861253293,0.35
320,left,baseline,8,-5.96450729749689,15.54851871881777,24.890136718750004,-52.459716796874986,0.057747622583233765,0.03788482574476562,-6.377344181841955e-06,-0.0002273969601288151,0.02299679048350817,1608,0,-3.897480674931491e-06,8.565835794691143e-26,0.02640045040438327,1608,0,0,-7.496768408322979,,,4.372574093752752,5.6594681871853565,False,-0.00016557049021555565,9.479240294637188e-05,11.666998344304654,-0.04885382805662795,0.35
320,left,trial,8,-5.837479017267181,20.35817276347973,31.335449218750025,-55.419921875,0.05965581219835866,0.06732025263932326,-0.00013533205705109876,-0.0005493272688253221,0.028706937376297512,1600,8,-6.35425861915405e-06,6.435473412317008e-34,0.046518066127822985,1608,0,0,-3.802378439258929,,,4.187907191213078,8.483312547254931,False,-0.00016557049021555565,9.479240294637188e-05,11.666998344304654,-0.04885382805662795,0.35
350,right,baseline,8,-7.605897514381218,25.43840341781628,34.423828125,-80.00732421875003,0.09222730921475568,0.07611771990175503,-0.00010870003960609251,-0.0003624857567067659,0.032181234932708885,1604,4,-9.075324771579569e-05,2.579739722768425e-21,0.0405390879940267,1604,4,0,2.660689231347529,-0.002661148856985792,0.0030662709966245883,3.0600315644959193,7.362705306387723,True,-0.0004550044836330666,0.00021685066319394297,21.303407767536964,-0.1753422476509702,0.35
350,right,trial,14,-5.098463978933458,31.020512398618216,59.433593750000085,-85.29296875,0.12018174943874729,0.24442922623522995,-0.0001893499759726173,-0.0006876585469409308,0.038138803748019826,2808,6,-0.0001574356765351458,3.2046590326298134e-19,0.05926781789283663,2808,6,15,-0.24755178559675786,,,3.9861944143156776,7.742297715734892,False,-0.0004550044836330666,0.00021685066319394297,21.303407767536964,-0.1753422476509702,0.35
350,left,baseline,8,-6.194394239738806,21.351566601492028,25.561523437500107,-69.9658203125,0.07722418766589258,0.06462278084074595,-8.34953585976705e-05,-0.00022903352658834087,0.029806056121097716,1604,4,-7.268534521525772e-05,1.1995586096861591e-17,0.033529079039274795,1603,5,0,0.7863431203575074,-0.009062483790959438,0.011504219810987832,3.096887900703017,5.891996345508594,True,-0.00018576253397543233,0.00013721846478509142,21.40505076884389,-0.07060519773908955,0.35
350,left,trial,8,-2.7715821527129956,26.087335144105765,41.401367187499986,-68.10302734375,0.07805531665505516,0.11232663685800495,-0.00016873139079107122,-0.00047647228984526446,0.037826867526544516,1604,4,-0.00014750217607882834,9.689000138426697e-18,0.049805531623860366,1604,4,0,-1.1210915981247047,,,3.082493618685309,11.961884516876665,False,-0.00018576253397543233,0.00013721846478509142,21.40505076884389,-0.07060519773908955,0.35
370,right,baseline,8,-7.944337455787469,30.38820414575893,37.978515624999986,-88.32275390624999,0.1072464547445478,0.09232141427642108,-0.00010592751279168444,-0.0003959338737562557,0.03666198167445944,1608,0,-0.00010383494861354446,8.412347982030738e-27,0.048162902700736115,1608,0,10,18.885308087707326,-0.0002628997538422264,0.0004935323552875388,1.0415863816710282,10.622481989916212,True,-0.0005381707133437187,0.00020249281818713027,26.104877342729598,-0.2346982212551633,0.24617063002674827
370,right,trial,8,-5.526666593788868,37.47444402057272,56.610107421874986,-84.871826171875,0.12309661394363403,0.19559491295718578,-0.00019322138960939153,-0.0009360823059982976,0.036950669955831385,1608,0,-0.00018827406776815634,2.5804982197764545e-26,0.08257355276355481,1608,0,5,11.677505920944188,-0.00021236678360285843,0.0006121043333936285,1.1389414654469512,14.146056394618887,True,-0.0005381707133437187,0.00020249281818713027,26.104877342729598,-0.2346982212551633,0.24617063002674827
