speed_mm_s,motion_name,turn_count,speed_error_mean_mm_s,speed_error_rms_mm_s,speed_ripple_rms_mm_s,feedback_rms_v,required_voltage_rms_v,motor_voltage_delta_rms_v,saturation_pct,fit_k_alpha,fit_k_omega2,fit_rmse_v,fit_samples,fit_rejected,response_lag_ms,response_voltage_gain_mps2_per_v,response_speed_term_per_s,response_alpha_mag_term,response_omega2_term,response_rmse_mps2,response_r_squared,response_condition_number,response_valid_positive_gain
1600,in_l45,2,29.508888662157965,38.762457046443956,25.09543320274677,0.08309121711190294,0.0833269215961488,0.6639086422513536,0.0,-2.1498233742406927e-05,8.412697515766676e-07,0.032178091973987896,402,0,20,-112.29091574581967,-260.6134683869236,-0.0036180437745088057,0.0006357759015713782,1.6626789126039694,0.8294097032989666,1100.7337061589776,False
1600,in_r45,3,3.4658656586857384,22.093278794089173,19.34698794452822,0.043463848373510555,0.04354487698331558,0.7205060630515033,0.0,-3.0852077433449445e-19,2.765375617651854e-05,0.03875104046423364,603,0,16,-48.86735957311188,-162.0685213417114,0.0003690403559915012,-0.0054610448301986025,2.2954813411672927,0.7033855386301033,938.1750740390288,False
1600,l_v90,8,19.798735813121894,37.89447550107695,31.033314272371253,0.06849574089525319,0.06851572042564939,0.10877790635632399,0.0,-5.486457815196373e-06,6.82450525370512e-19,0.06274690340870542,1608,0,20,3.175168223956389,-10.688352789109006,-0.003980970241435067,-0.005209798731183213,3.601842877786904,0.34409083244271577,24.087535713796324,True
1600,long_l180,8,7.638012330923505,57.70790271937293,56.00040019469525,0.12275331219122568,0.12274795642024895,0.5932486205493619,0.0,-9.810495848826577e-05,4.4322505136576515e-21,0.09592306471562213,1608,0,16,0.586146262851037,-35.462940314784,-0.0015441462844915793,-0.005118056604928256,3.2298704299137087,0.4589182401730476,8.901048126217708,True
1600,long_l90,12,-33.40792376010572,54.381632556491546,41.77236497934998,0.11896022178553035,0.11893611450648546,0.4636880874831359,0.0,-2.315820637579412e-13,9.601836225693601e-47,0.08208571271883562,2412,0,18,-3.576731238056005,-54.24352520611701,-0.002676381761581581,-0.0013323306866652729,2.3005206875924986,0.4848037037929299,38.26766198980385,False
1600,long_r180,8,5.989756418104787,50.84797933751516,49.733570289239935,0.10581336662837601,0.1058136930650551,0.5984656144421305,0.0,-7.415473433044233e-05,7.022525830748988e-17,0.09138665231414068,1608,0,12,0.6244443567662136,-47.06062286309953,0.0002704172506786673,-0.005208841904050132,3.124660111677937,0.49247752080574136,7.407745521062905,True
1600,long_r90,12,-38.205177724657965,58.55425228711123,43.3992110143139,0.1303410147797617,0.1301959863118244,0.43744896522507887,0.0,-1.0360352606337632e-22,1.2036953786534758e-33,0.08625908789359965,2412,0,18,-2.3029800633363995,-46.568798342869805,-0.003409481941446302,-0.004329204805728182,2.008828372542705,0.5437466974796898,36.639338010811066,False
1600,r_v90,8,7.445293065920396,52.76853600634168,50.667398523038536,0.11015975185678425,0.11009089300370539,0.15148596751782767,0.0,-2.6738792135486682e-14,1.5438653710784595e-54,0.10139543481674791,1608,0,19,-0.9644363715479894,-28.939695897545857,-0.0067683259221600345,-0.00961293232153082,2.8333402063302495,0.6502076570127108,25.43852346856467,False
1800,in_l135,2,86.09752749922264,131.5350405763228,99.44154284380045,0.3689681842773891,0.3689966142134563,0.7551054097814067,0.0,-0.00016978460610022646,2.9617416932507644e-15,0.15369322329637808,402,0,17,-22.443439310999754,-85.61216455324151,-0.006806935642039491,-0.012524504562918537,2.3041888440421037,0.8469404250735328,143.53933065891758,False
1800,in_l45,1,42.768093128109456,53.3443818788619,31.882805526226946,0.1251266768578788,0.12527584462191488,0.8970978573927262,6.467661691542288,-2.545090594187332e-05,1.34994813497432e-05,0.036588635283437754,201,0,20,1.4817356789028882,5.822644493958408,-0.0027849947964879718,-0.007828128990044037,0.9274189561308717,0.8557147466204675,456.2292059274456,True
1800,in_r135,2,81.84267869636193,124.3545713659322,93.55064781393304,0.3472817231520751,0.34731012970298614,0.7628145425860646,0.0,-0.00015758521891680693,3.244533457292978e-15,0.1497452201738292,402,0,18,-23.193076745104772,-83.01153730706264,-0.006867456401352001,-0.010112803962812222,2.4620304278463023,0.7896869355446019,166.73587266902274,False
1800,in_r45,2,9.293376865671638,24.507369978664947,22.250550473279354,0.05280761685855566,0.052881078567773715,0.9443289065541779,4.975124378109452,-1.1003791184194248e-05,3.054766977536486e-14,0.03814557873657403,402,0,20,-19.47702419558833,-121.12926233857738,-0.004079014353663979,-0.006516740733363946,1.4088591316230956,0.884412735120173,534.3613859258081,False
1800,l_v90,8,-9.39297652363184,84.994764421975,81.51386260010045,0.1746424885396468,0.17461761541480442,0.25945321719659936,2.985074626865672,-6.846481508787725e-15,1.7048104743380956e-36,0.1669487115050491,1608,0,8,12.650131022337364,-70.13992006340258,0.0003241858625671057,-0.003434124859886367,3.8889754227949402,0.8669373096087923,16.63909364506789,True
1800,long_l180,12,17.330512557654433,96.16433221632813,94.11876999029936,0.4617867624944201,0.46179066304157307,0.8126488475935439,0.0,-0.0003585107559143442,2.129706709544616e-16,0.31164192251090395,2412,0,17,-2.9424583514026184,-54.41104719828672,-0.006670251366390545,-0.005763743763040452,2.3852563555720483,0.8916692342824105,12.956626408327844,False
1800,long_l90,12,-15.067241915422883,44.019502898079764,40.18162618112631,0.1187997836355335,0.11889330824940919,0.4592120543119198,0.0,-6.616275932208296e-06,1.6826427122303176e-29,0.08062250373199283,2412,0,8,1.5247644829383344,-47.30582444917688,0.0006976518809409527,-0.005021615372605481,3.0072110810868056,0.6407080346812968,14.538574579683747,True
1800,long_r180,6,12.601834577114431,99.62953379884733,97.86018045525752,0.4714941268865238,0.4715231730730203,0.7629898000898844,0.0,-0.00033354837992494396,1.0859587955294245e-18,0.3280216038594498,1206,0,17,-2.346669140342251,-56.10020353876057,-0.005064690945758343,-0.005269526736370267,2.866964656510989,0.8420172866129586,13.103558576527725,False
1800,long_r90,12,-22.19736279539801,46.893833437257875,40.90682566716581,0.12136071978614334,0.12145476298759715,0.4583218381064749,0.0,-4.130866520362326e-19,1.8943091463501163e-35,0.08189795149173087,2412,0,16,-0.18618403550597448,-45.92313842004469,-0.0032863809578387304,-0.006681221717435903,3.0328508138833983,0.45199819937600627,29.193039186598696,False
1800,r_v90,8,-8.54770945079291,82.29756829323246,77.65200441015403,0.18523036551325567,0.18527217524513015,0.270983551465875,2.736318407960199,-8.048494500389222e-18,1.545481193435538e-23,0.14411080689817254,1567,41,8,9.081069687228512,-71.16312691528722,-0.0005108983939265954,-0.003468994671028014,4.284724369047423,0.8177601534926164,15.481747597568274,True
