speed_mm_s,motion_name,turn_sections,ff_min_v,ff_max_v,clamp_pct
1600,in_l135,2,-0.367410,0.388957,0.0
1600,in_l45,2,-0.658701,0.673728,0.0
1600,in_r135,1,-0.391635,0.406618,0.0
1600,in_r45,2,-0.697627,0.709655,0.0
1600,l_v90,8,-0.623129,0.648660,0.0
1600,long_l180,10,-0.215298,0.231645,0.0
1600,long_l90,13,-0.370642,0.385254,0.0
1600,long_r180,10,-0.229778,0.241357,0.0
1600,long_r90,12,-0.393736,0.404360,0.0
1600,r_v90,8,-0.661975,0.680506,0.0
2000,long_l180,6,-0.479647,0.543900,0.0
2000,long_l90,12,-0.899383,0.958184,0.0
2000,long_r180,12,-0.562523,0.652054,0.0
2000,long_r90,12,-1.057337,1.136698,16.42
