speed_mm_s,run,led_start_frame,led_end_frame,pink_lstart_mm,pink_lend_mm,pink_apex_forward_mm,pink_target_residual_mm,trajectory_fit_rmse_mm,marker_detection_pct,accepted
1400,20260726_050633,59,94,10.779201860279997,27.53883161531793,84.22079813972,6.735875532158713,6.057224763802361,99.34640522875816,True
1400,20260726_050729,57,92,15.177072986278645,22.862422505353802,79.82292701372135,7.082846478914211,4.677016457455362,99.3421052631579,True
1400,20260726_050834,59,94,11.124127027921517,26.313889154415733,83.87587297207848,6.101636163381543,5.519445658324333,100.0,True
1600,20260726_051248,55,88,8.821397935389342,26.543922991878315,86.17860206461066,2.8424610610303085,4.502807070764789,100.0,True
1600,20260726_051824,55,87,13.116785149467063,32.13280563297965,81.88321485053294,0.9815636733986575,5.526398719813308,97.2222222222222,True
1600,20260726_051918,55,88,15.53115908735046,27.383844076497667,79.46884091264954,0.463266746918933,5.140957619140606,95.8041958041958,True
1800,20260726_052037,52,81,7.52472107964978,37.676787260517514,87.47527892035022,3.2394585087254377,7.85712391485403,97.79411764705884,True
1800,20260726_052135,52,81,5.677584791690293,38.335523037084585,89.3224152083097,1.394041896531027,6.818087185178641,99.35897435897436,True
1800,20260726_052229,53,82,8.38273724236086,33.89129165913556,86.61726275763914,2.5434746809615434,8.102136622254182,96.83544303797468,True
2000,20260726_052336,50,77,7.066201760634726,43.614416452025296,87.93379823936527,6.111551369660119,10.077362973702575,96.7948717948718,False
2000,20260726_052437,50,78,0.9979454911965178,38.6087649151786,94.00205450880348,0.32793427267440184,8.570268158073572,98.1012658227848,True
2000,20260726_052536,50,78,3.822733168988023,37.43074635819723,91.17726683101198,0.021379536360304985,9.251318609755128,98.1132075471698,True
